"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List"
"Desktop i5 4th/8gb/256gb/1tb/2gb","N/A","9350.0","15800.0","N/A","N/A","0.0","0.0","0.0","0.0","07 August 2024","0.0%","N/A"
"AOC 22inch Monitor","N/A","5000.0","6000.0","N/A","N/A","0.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"Dell Original Charger 90w","N/A","1100.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"Lan Cable 5 Ft Og","N/A","0.0","200.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Desktop","i5 4th Gpu","15000.0","22000.0","N/A","8gb/256gb/1tb/2gb graphics","0.0","0.0","0.0","0.0","14 July 2024","0.0%","N/A"
"HDMI","N/A","40.0","0.0","N/A","1.5 mtrs","3.0","0.0","0.0","0.0","14 July 2024","0.0%","N/A"
"Converter","N/A","100.0","0.0","N/A","HDMI TO VGA","0.0","0.0","0.0","0.0","14 July 2024","0.0%","N/A"
"Ssd 256gb","N/A","1200.0","1500.0","N/A","Sata consistent","0.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"Ssd 512gb","N/A","2550.0","0.0","N/A","m.2 single cut consistent","0.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"Keyboard","N/A","1450.0","2200.0","N/A","laptop with backlight","0.0","0.0","0.0","0.0","10 July 2024","0.0%","N/A"
"HDMI TO VGA","N/A","100.0","0.0","N/A","N/A","3.0","0.0","0.0","0.0","15 July 2024","0.0%","N/A"
"Ssd Sata 256gb","N/A","1200.0","1500.0","N/A","consistent","0.0","0.0","0.0","0.0","20 July 2024","0.0%","N/A"
"Asus Charger","N/A","350.0","550.0","N/A","N/A","0.0","0.0","0.0","0.0","29 July 2024","0.0%","N/A"
"Service Laptop","N/A","0.0","200.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Visit","N/A","0.0","150.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Service And Windows","N/A","0.0","600.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Laptop board repair","N/A","800.0","2000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Laptop board service","N/A","800.0","2000.0","N/A","N/A","0.0","0.0","0.0","0.0","07 August 2024","0.0%","N/A"
"Laptop  repair","N/A","800.0","2000.0","N/A","N/A","-1.0","0.0","0.0","0.0","07 August 2024","0.0%","N/A"
"HDMI TO VGA (Branded)","N/A","200.0","0.0","N/A","N/A","2.0","0.0","0.0","0.0","07 August 2024","0.0%","N/A"
"HDMI cable Adn","N/A","0.0","250.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"HDMI Adn","N/A","0.0","250.0","N/A","1.5 mtrs","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Pendrive 3.2 64 gb kinston","N/A","380.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Pendrive 3.2","N/A","370.0","450.0","N/A","hp 32gb metal","3.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
