"Organization Name","Contact Number","Email","Address","Contact Person","Tax Id","Business Detail","Shipping Address","Balance","Total Purchase","Unpaid Purchase"
"Amazon","","","  ","","","","","0.0","2","0"
"Archana/Nechra/Nehru Place","977-364-0315","","  ","Archana/Nechra/Nehru Place","","","Archana/Nechra/Nehru Place

977-364-0315
","0.0","4","0"
"Krishna Laptop Repair/Shadipur","+91 11 4557 8594","","  ","Krishna Laptop Repair/Shadipur","","","Krishna Laptop Repair/Shadipur

+91 11 4557 8594
","0.0","5","0"
"Mangal Infotech/Laxmi Nagar","+91 98100 12668","","  ","","","","","0.0","0","0"
"Old Used Laptops","+91 98100 12668","","  ","Old Used Laptops","","","Old Used Laptops

+91 98100 12668
","0.0","1","0"
"Roshni 2k21","+91 91705 08002","","  ","Roshni 2k21","","","Roshni 2k21

+91 91705 08002
","0.0","0","0"
"Roshni 2k21","+91 91705 08002","","  ","Roshni 2k21","","","Roshni 2k21

+91 91705 08002
","0.0","1","0"
"Saurav Pc Market Shadipur","920-553-7394","","Shadipur  ","Saurav Pc Market Shadipur","","","Saurav Pc Market Shadipur

920-553-7394
","6570.0","30","1"
"Tanya Cabletronics/ Nehru Place","9810538488","","  ","","","","","0.0","1","0"
"Tech Junction","7011110207","","  ","","","","","0.0","2","0"
