id,prod_id,product_name,unit,quantity,rate,tax_rate,total,description,discount_rate,discount_amount,sequence,tax_amount,unique_key_fk_purchase,unique_key_fk_product,unique_key_list_item,local_purchase_id,org_Id,purchase_product_code,taxable_flag,tax_list,unique_key_fk_return_purchase,unique_key_return_purchase_list_item
1,0,Asus Charger,,1,350,0,350,,0,0,0,0,56de6bdb8d73b1011722264786348,56de6bdb8d73b1011722264742160,56de6bdb8d73b1011722264786353,0,61545,,0,[],,
2,0,Laptop Power Cable,,10,39,0,390,,0,0,0,0,56de6bdb8d73b1011722264786348,56de6bdb8d73b1011722264783063,56de6bdb8d73b1011722264786355,0,61545,,0,[],,
3,0,CMOS,,10,6,0,60,,0,0,0,0,56de6bdb8d73b1011722966938330,56de6bdb8d73b1011722966934103,56de6bdb8d73b1011722966938332,0,61545,,0,[],,
4,0,Laptop  repair,,1,800,0,800,,0,0,0,0,56de6bdb8d73b1011723043927420,56de6bdb8d73b1011723043914304,56de6bdb8d73b1011723043927428,0,61545,,0,[],,
5,0,Dell Keyboard,,3,440,0,1320,,0,0,0,0,56de6bdb8d73b1011722799729552,56de6bdb8d73b1011722799641184,56de6bdb8d73b1011722799729555,0,61545,,0,[],,
6,0,Dell Mouse,,3,210,0,630,,0,0,0,0,56de6bdb8d73b1011722799729552,56de6bdb8d73b1011722799670119,56de6bdb8d73b1011722799729557,0,61545,,0,[],,
7,0,Charger,,7,320,0,2240,Techie,0,0,0,0,56de6bdb8d73b1011722799729552,56de6bdb8d73b1011720548487881,56de6bdb8d73b1011722799729558,0,61545,65w,0,[],,
8,0,SMPS,,2,400,0,800,,0,0,0,0,56de6bdb8d73b1011723044603266,56de6bdb8d73b1011723044003957,56de6bdb8d73b1011723044603269,0,61545,,0,[],,
9,0,Desktop i5 4th\/8gb\/256gb\/1tb\/2gb,,1,9350,0,9350,,0,0,0,0,56de6bdb8d73b1011723044603266,56de6bdb8d73b1011723044546231,56de6bdb8d73b1011723044603270,0,61545,,0,[],,
10,0,HDMI TO VGA (Branded),,2,200,0,400,,0,0,0,0,56de6bdb8d73b1011723044603266,56de6bdb8d73b1011723044581065,56de6bdb8d73b1011723044603271,0,61545,,0,[],,
11,0,HDMI,,3,40,0,120,1.5 mtrs,0,0,0,0,56de6bdb8d73b1011721715364320,56de6bdb8d73b1011721714895868,56de6bdb8d73b1011721715364325,0,61545,,0,[],,
12,0,VGA,,5,60,0,300,Cable 1.5 mtrs,0,0,0,0,56de6bdb8d73b1011721715364320,56de6bdb8d73b1011721714950550,56de6bdb8d73b1011721715364326,0,61545,,0,[],,
13,0,Pendrive 3.2,,3,370,0,1110,hp 32gb metal,0,0,0,0,56de6bdb8d73b1011721715364320,56de6bdb8d73b1011721715147605,56de6bdb8d73b1011721715364327,0,61545,,0,[],,
14,0,Pendrive 2.0,,3,280,0,840,SanDisk 32gb,0,0,0,0,56de6bdb8d73b1011721715364320,56de6bdb8d73b1011721715230935,56de6bdb8d73b1011721715364329,0,61545,,0,[],,
15,0,Power Cable,,10,40,0,400,Desktop,0,0,0,0,56de6bdb8d73b1011721715364320,56de6bdb8d73b1011721715362315,56de6bdb8d73b1011721715364333,0,61545,,0,[],,
16,0,HDMI TO VGA,,3,100,0,300,,0,0,0,0,56de6bdb8d73b1011721715364320,56de6bdb8d73b1011721717881171,56de6bdb8d73b1011721717889929,0,61545,,0,[],,
17,0,Pendrive 3.2 64 gb kingston,,3,380,0,1140,,0,0,0,0,56de6bdb8d73b1011721715364320,Product@1723366270791a471a7759xgvyk0vf,PurchaseItem@172336627094182a39334o4jeorw92,0,61545,,0,[],,
18,0,Pendrive 2.0 64gb,,3,380,0,1140,,0,0,0,0,56de6bdb8d73b1011721715364320,Product@1723366163785bb153e71qmosyfzcr,PurchaseItem@172336629817499f9cd8c6u7lcb91w,0,61545,,0,[],,
19,0,Battery,,1,1150,0,1150,techie,0,0,0,0,56de6bdb8d73b1011720548573728,56de6bdb8d73b1011720548188295,56de6bdb8d73b1011720548573730,0,61545,XCMRD,0,[],,
20,0,Charger,,1,350,0,350,Techie,0,0,0,0,56de6bdb8d73b1011720548573728,56de6bdb8d73b1011720548487881,56de6bdb8d73b1011720548573731,0,61545,65w,0,[],,
21,0,UPS,,2,1700,0,3400,Intex,0,0,0,0,56de6bdb8d73b1011721536823703,56de6bdb8d73b1011721309229336,56de6bdb8d73b1011721536823726,0,61545,,0,[],,
22,0,Desktop,,1,15000,0,15000,8gb\/256gb\/1tb\/2gb graphics,0,0,0,0,56de6bdb8d73b1011721537039806,56de6bdb8d73b1011721309453413,56de6bdb8d73b1011721537039809,0,61545,i5 4th Gpu,0,[],,
23,0,Charger,,2,350,0,700,Techie,0,0,0,0,56de6bdb8d73b1011721714742960,56de6bdb8d73b1011720548487881,56de6bdb8d73b1011721714742964,0,61545,65w,0,[],,
24,0,Battery,6340,1,1250,0,1250,techie,0,0,0,0,56de6bdb8d73b1011721715650206,56de6bdb8d73b1011720548188295,56de6bdb8d73b1011721715650219,0,61545,Dell,0,[],,
25,0,Charger,,1,350,0,350,Techie,0,0,0,0,56de6bdb8d73b1011721715650206,56de6bdb8d73b1011720548487881,56de6bdb8d73b1011721715650220,0,61545,65w,0,[],,
26,0,Sato To 3.0 Converter,,5,180,0,900,,0,0,0,0,56de6bdb8d73b1011721715650206,56de6bdb8d73b1011721717827576,56de6bdb8d73b1011721717839751,0,61545,,0,[],,
27,0,Ssd Sata 256gb,,1,1200,0,1200,consistent,0,0,0,0,56de6bdb8d73b1011721715650206,56de6bdb8d73b1011721718035457,56de6bdb8d73b1011721718071527,0,61545,,0,[],,
28,0,Ssd M.2 Single Cut 512gb,,1,2550,0,2550,consistent,0,0,0,0,56de6bdb8d73b1011721715650206,56de6bdb8d73b1011721718061525,56de6bdb8d73b1011721718071528,0,61545,,0,[],,
